iter	Passed	Remaining
0	1	102
1	2	118
2	3	105
3	3	95
4	4	94
5	5	92
6	6	90
7	7	87
8	8	85
9	9	84
10	10	82
11	11	81
12	11	79
13	12	78
14	13	77
15	14	75
16	15	74
17	21	97
18	22	97
19	23	95
20	24	93
21	25	91
22	26	89
23	27	87
24	28	85
25	29	84
26	30	82
27	31	81
28	32	80
29	33	79
30	34	77
31	35	76
32	36	74
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	65
39	42	64
40	43	63
41	44	60
42	45	59
43	48	61
44	49	60
45	50	58
46	51	57
47	52	56
48	52	55
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	59	45
57	60	44
58	62	43
59	63	42
60	64	40
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	74	31
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	83	26
76	85	25
77	86	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	94	15
86	95	14
87	96	13
88	96	11
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
